product_id,sub_category
1067,Eau De Parfum
1068,Eyeshadow Palette
1069,Eau De Parfum
1071,Intimate Lotion
1073,Shampoo
1074,Perfume
1075,Eau De Parfum
1077,"Soap, Shaving Cream, Shaving Brush, After-Shave Lotion & Body Spray"
1078,Essential Oil
1079,Loose Powder
1080,Eyebrow Gel
1081,Conditioner
1082,Cleanser
1084,Eau De Parfum
1086,Face Sunscreen
1087,Setting Spray
1088,Hair Oil
1089,Face Serum
1090,Face Cream
1091,Eau De Parfum
1092,Eau De Parfum
1094,Body Lotion
1095,Hair Serum
1097,Face Sunscreen
1098,Eau De Toilette
1099,Face Oil
1102,Face Sunscreen
1103,Bronzer
1105,Body Sunscreen Lotion
1106,Mascara
1108,Eau De Parfum
1109,Body Lotion
1112,Face Sunscreen
1113,Shampoo
1114,Hair Serum
1115,Makeup Sponge
1116,Makeup Sponge
1118,Conditioner
1119,Face Mask
1120,Toner
1121,Puff
1122,Hair Serum
1123,Massage Oil
1124,Lipstick
1125,Eau De Parfum
1126,Face Cleanser
1135,Body Spray
1136,Eau De Toilette
1137,Face Wash
1139,Eau De Toilette
1140,Face Wash
1142,Face Oil
1143,Face Primer
1144,Shower Gel
1146,Face Moisturiser
1147,Under Arm Roll On
1149,Mascara
1150,Face Palette
1152,Hair Serum
1153,Eyelash Curler
1154,Face Brush
1159,Mascara
1161,Brow Gel
1162,Body Scrub
1163,Face Moisturiser
1164,Body Scrub
1166,Eau De Parfum
1170,Body Scrub
1171,Eau De Parfum
1172,Face Sunscreen
1173,Makeup Remover
1175,Eyeliner
1176,Body Mist
1177,Setting Spray
1179,Talc
1180,Face Sunscreen
1181,Lip Cream
1182,Face Moisturiser
1183,Nail Polish
1184,Body Lotion
1185,Hair Mask
1186,Conditioner
1187,Body Mist
1189,Makeup Sponge
1191,Eau De Parfum
1196,Toner
1198,Deodorant
1200,Face Peel Mask
1203,Eau De Parfum
1204,Perfume
1205,Bronzer
1206,Face Scrub
1207,Shower Gel
1208,Kajal & Sharpener
1211,Eyeliner
1213,Soap
1214,Lip Gloss
1215,Eau De Parfum
1216,Eau De Parfum
1217,Shampoo
1219,Eyebrow Enhancer Pencil
1220,Nail Polish
1223,Face Serum
1227,Blush
1228,Sheet Mask
1229,Face Sunscreen
1231,Foundation
1234,Shower Gel
1236,Blush
1238,Eau De Parfum
1240,Sheet Mask
1241,Toner
1242,Eau De Toilette
1243,Lip Crayon
1244,Eau De Parfum
1245,Toner
1247,Eau De Parfum
1248,Lip Mask
1249,Hair Oil
1254,Face Sunscreen
1256,Skin Cleanser
1257,Lipstick
1262,Face Sunscreen
1263,Kajal
1264,Lip + Cheek Tint
1265,Sunscreen
1266,Hair Oil
1268,Foundation
1269,Foundation
1271,Face Peel Mask
1272,Eau De Toilette
1275,Lip Balm
1276,Face Moisturiser
1279,Liquid Lipstick
1280,Lipstick
1281,Mascara
1282,Body Lotion
1285,Body Mist
1288,Lipstick
1289,Eau De Toilette
1292,Blush
1296,Lip Tint
1297,Face Moisturiser
