product_id,brand
1340,Nails Our Way
1344,Colorbar
1345,Burberry
1346,Yves Saint Laurent
1348,LOVE beauty AND planet
1353,The Face Shop
1355,Be Bodywise
1356,Nuse
1357,Nivea
1360,Maison Margiela
1361,Lakme
1362,Aqualogica
1363,SP
1367,KIRO
1368,Nails Our Way
1369,Huda Beauty
1371,Plum
1372,Plum
1373,Sheglam
1374,bareMinerals
1375,Innisfree
1376,Moroccanoil
1377,Burberry
1378,Lakme
1379,Akind
1380,Lancome
1381,Plum
1382,COSRX
1383,Plum
1386,Pilgrim
1387,M.A.C
1388,Plum
1390,PAC
1394,Lakme
1396,Dove
1397,bareMinerals
1398,Deconstruct
1399,Prada
1401,mCaffeine
1402,Rom&nd
1405,Giorgio Armani
1406,Forest Essentials
1407,mCaffeine
1408,Plum
1410,KIKO Milano
1412,Maybelline New York
1415,Lakme
1418,SKIN COTTAGE
1419,Bioderma
1420,L'occitane
1421,PAC
1425,M.A.C
1426,Dermalogica
1427,Ralph Lauren
1428,Beardo
1430,Olaplex
1432,Huda Beauty
1433,Insight Cosmetics
1435,Nails Our Way
1437,RENEE
1438,Fixderma Cosmetic Laboratories
1440,Plum
1441,Kama Ayurveda
1444,Re'equil
1446,Kimirica
1448,Schwarzkopf
1450,FENTY BEAUTY
1451,SKIN COTTAGE
1452,Patchology
1453,Rom&nd
1454,Laura Mercier
1455,Swiss Beauty
1456,GUBB
1458,RENEE
1460,THE LOVE CO.
1461,Beauty of Joseon
1464,Dr. Sheth's
1468,Maybelline New York
1469,Natio
1471,mCaffeine
1473,Nautica
1476,Calvin Klein
1477,LOVE beauty AND planet
1479,FAE BEAUTY
1482,RENEE
1483,DAVIDOFF
1485,Chopard
1486,Burberry
1487,Police
1489,Armaf
1490,Burberry
1491,Sebamed
1492,Be Bodywise
1494,Sheglam
1498,RENEE
1499,Maybelline New York
1501,Dove
1503,Mamaearth
1505,CLINIQUE
1510,Ajmal
1511,Plum
1512,Too Faced
1514,Max Care
1517,Brillare
1518,Ajmal
1519,Bioderma
1520,Boss
1521,Dermalogica
1522,Laneige
1524,WishCare
1525,Soulflower
1528,OUAI
1529,Fix My Curls
1532,LOVE beauty AND planet
1533,L'Oreal Paris
1534,M.A.C
1535,Valentino
1537,Insight Cosmetics
1538,PAC
1539,Streax
1540,Nuse
